label,top_left_y,top_left_x,bottom_left_x,bottom_left_y,width,top_right_x,top_right_y,bottom_right_x,bottom_right_y,height
MD_1658320940,1.4829843521719575,31.46224198893616,31.457878435094106,0.7832667626452452,1.0504758522612156,32.51269741542413,1.4764335395573156,32.508333861582074,0.7767159500306033,0.699731195313747
MD_1658320966,1.483128202243066,31.727257139097883,31.722728181356437,0.7832494449696543,1.0507193791282543,32.77795451967794,1.4763290759854943,32.7734255619365,0.7764503187120825,0.6998934106996573
MD_1658320989,1.1545914008202944,31.72869049771827,31.725185074036354,0.4534442347607219,1.052614742332342,32.78129208495594,1.1493288614988255,32.77778666127403,0.44818169543925296,0.701155928783719
MD_1658321012,0.8167801145531588,31.735941738387197,31.732048874157428,0.11475644950299918,1.053933640331749,32.78985917524014,0.810935927675557,32.78596631101037,0.10891226262539738,0.7020344583297675
MD_1658321035,0.4809804261538127,31.71918256032334,31.717881207289334,-0.2203178619307255,1.0528302727685317,32.77201102045025,0.4790267617371878,32.77070966741625,-0.22227152634735042,0.701299495501047
MD_1658321062,0.471730607304441,31.98380796069697,31.986591381966356,-0.2291231555391961,1.052169411437937,33.03596907451374,0.47590923596890894,33.03875249578312,-0.22494452687472816,0.7008592899620065
MD_1658321086,0.8072688936501868,31.97734821254554,31.97783712944517,0.10676012713944905,1.0516434420472438,33.02899139845048,0.8080028832168404,33.029480315350106,0.10749411670610265,0.7005089371293775
MD_1658321109,1.1429745003596676,31.975867979322206,31.97625394282278,0.4436892720354708,1.049806501422179,33.02567432083906,1.1435539304892988,33.026060284339636,0.44426870216510184,0.6992853348385393
MD_1658321132,1.471473137122,31.998042711622894,31.99693542281174,0.7727438724376439,1.0489730147670504,33.0470144092332,1.4698108128389273,33.04590712042205,0.7710815481545712,0.6987301420540353
MD_1658321160,1.4733465054231192,32.25920530807962,32.24947650769471,0.7768006868877866,1.0457957788788121,33.304899093443595,1.4587410827347222,33.29517029305868,0.7621952641993897,0.6966137573117444
MD_1658321183,1.1405817056350698,32.26788799587467,32.25979069338619,0.4427304561027944,1.047724094411687,33.31554156772275,1.1284255794117835,33.30744426523427,0.43057432987950794,0.6978982252315505
MD_1658321206,0.8076567795983752,32.27680109898292,32.26868460336214,0.10985476154899654,1.0476505250433903,33.32438076175806,0.7954718395646561,33.316264266137274,0.09766982151527737,0.6978492200289026
